ts,open,high,low,close
1788307200,4370.7001953125,4373.60009765625,4369.10009765625,4372.0
1788307260,4371.60009765625,4372.2998046875,4366.7001953125,4371.60009765625
1788307320,4371.60009765625,4371.60009765625,4361.39990234375,4367.5
1788307380,4367.89990234375,4374.7001953125,4367.89990234375,4373.7998046875
1788307440,4374.10009765625,4376.60009765625,4373.39990234375,4375.60009765625
1788307500,4375.60009765625,4376.89990234375,4371.5,4371.89990234375
1788307560,4371.5,4371.89990234375,4364.0,4365.89990234375
1788307620,4366.0,4368.7998046875,4365.7998046875,4367.39990234375
1788307680,4367.0,4371.60009765625,4366.89990234375,4369.10009765625
1788307740,4369.5,4373.2001953125,4369.5,4369.7998046875
1788307800,4369.39990234375,4369.5,4367.2998046875,4368.0
1788307860,4367.2998046875,4369.2001953125,4366.39990234375,4368.0
1788307920,4367.60009765625,4368.10009765625,4364.89990234375,4368.10009765625
1788307980,4368.2001953125,4370.7001953125,4368.0,4370.7001953125
1788308040,4371.2001953125,4374.39990234375,4371.10009765625,4374.2001953125
1788308100,4374.2998046875,4376.60009765625,4373.60009765625,4375.89990234375
1788308160,4375.7998046875,4377.0,4374.0,4375.10009765625
1788308220,4375.0,4380.7001953125,4375.0,4379.39990234375
1788308280,4379.2001953125,4380.89990234375,4377.60009765625,4377.89990234375
1788308340,4377.5,4377.5,4373.7998046875,4374.2001953125
1788308400,4373.7998046875,4374.7001953125,4371.39990234375,4371.7001953125
1788308460,4371.2998046875,4373.10009765625,4371.0,4372.0
1788308520,4372.0,4380.60009765625,4370.7001953125,4378.2001953125
1788308580,4378.2001953125,4379.10009765625,4375.7998046875,4376.60009765625
1788308640,4376.10009765625,4378.7998046875,4375.5,4376.10009765625
1788308700,4376.60009765625,4377.2001953125,4374.60009765625,4376.2001953125
1788308760,4375.5,4375.60009765625,4372.60009765625,4372.60009765625
1788308820,4372.39990234375,4372.5,4369.39990234375,4369.60009765625
1788308880,4369.10009765625,4372.2998046875,4369.0,4371.2998046875
1788308940,4371.2001953125,4372.0,4370.0,4372.0
1788309000,4371.7998046875,4371.7998046875,4369.60009765625,4369.60009765625
1788309060,4369.7001953125,4369.89990234375,4367.0,4369.7998046875
1788309120,4369.60009765625,4371.10009765625,4369.5,4370.39990234375
1788309180,4370.2001953125,4370.2001953125,4366.39990234375,4367.5
1788309240,4367.10009765625,4370.7998046875,4366.7001953125,4369.2001953125
1788309300,4369.0,4373.89990234375,4369.0,4373.5
1788309360,4373.7001953125,4374.2998046875,4370.0,4370.0
1788309420,4370.5,4376.2001953125,4370.5,4376.0
1788309480,4375.60009765625,4376.2001953125,4369.89990234375,4374.10009765625
1788309540,4373.7001953125,4374.2998046875,4372.10009765625,4373.39990234375
1788309600,4373.10009765625,4373.10009765625,4370.7998046875,4371.7001953125
1788309660,4370.7001953125,4371.89990234375,4370.0,4371.60009765625
1788309720,4371.2998046875,4372.7998046875,4370.7998046875,4371.89990234375
1788309780,4372.39990234375,4373.7001953125,4372.39990234375,4373.60009765625
1788309840,4374.0,4378.0,4374.0,4376.7001953125
1788309900,4376.5,4377.7998046875,4375.60009765625,4377.39990234375
1788309960,4377.10009765625,4377.2001953125,4374.39990234375,4374.7001953125
1788310020,4374.0,4375.0,4372.7001953125,4372.7998046875
1788310080,4372.39990234375,4372.7001953125,4369.89990234375,4370.10009765625
1788310140,4370.5,4370.5,4369.60009765625,4369.89990234375
1788310200,4369.60009765625,4369.60009765625,4366.60009765625,4368.39990234375
1788310260,4368.2001953125,4368.89990234375,4366.7001953125,4368.5
1788310320,4368.2001953125,4368.89990234375,4367.10009765625,4367.10009765625
1788310380,4367.39990234375,4368.2998046875,4365.39990234375,4366.60009765625
1788310440,4366.39990234375,4366.39990234375,4360.7001953125,4361.2001953125
1788310500,4361.10009765625,4364.5,4361.10009765625,4363.7001953125
1788310560,4363.5,4365.0,4362.0,4363.89990234375
